-20;0.889
-19.75;0.894
-19.5;0.889
-19.25;0.894
-19.0;0.897
-18.75;0.893
-18.5;0.896
-18.25;0.896
-18.0;0.906
-17.75;0.907
-17.5;0.906
-17.25;0.904
-17.0;0.907
-16.75;0.912
-16.5;0.906
-16.25;0.91
-16.0;0.913
-15.75;0.917
-15.5;0.916
-15.25;0.919
-15.0;0.92
-14.75;0.919
-14.5;0.924
-14.25;0.924
-14.0;0.927
-13.75;0.925
-13.5;0.926
-13.25;0.931
-13.0;0.928
-12.75;0.929
-12.5;0.932
-12.25;0.931
-12.0;0.929
-11.75;0.938
-11.5;0.936
-11.25;0.94
-11.0;0.938
-10.75;0.943
-10.5;0.945
-10.25;0.947
-10.0;0.948
-9.75;0.949
-9.5;0.948
-9.25;0.951
-9.0;0.952
-8.75;0.952
-8.5;0.954
-8.25;0.955
-8.0;0.958
-7.75;0.963
-7.5;0.961
-7.25;0.962
-7.0;0.964
-6.75;0.967
-6.5;0.968
-6.25;0.967
-6.0;0.969
-5.75;0.969
-5.5;0.972
-5.25;0.973
-5.0;0.976
-4.75;0.976
-4.5;0.978
-4.25;0.978
-4.0;0.982
-3.75;0.979
-3.5;0.983
-3.25;0.985
-3.0;0.986
-2.75;0.988
-2.5;0.989
-2.25;0.991
-2.0;0.992
-1.75;0.993
-1.5;0.995
-1.25;0.995
-1.0;0.997
-0.75;1.0
-0.5;1.0
-0.25;1.0
0.0;0.993
0.25;1.0
0.5;1.0
0.75;0.998
1.0;0.996
1.25;0.996
1.5;0.993
1.75;0.991
2.0;0.99
2.25;0.988
2.5;0.987
2.75;0.984
3.0;0.986
3.25;0.98
3.5;0.981
3.75;0.978
4.0;0.979
4.25;0.978
4.5;0.976
4.75;0.972
5.0;0.972
5.25;0.969
5.5;0.972
5.75;0.967
6.0;0.964
6.25;0.964
6.5;0.962
6.75;0.961
7.0;0.959
7.25;0.959
7.5;0.956
7.75;0.958
8.0;0.952
8.25;0.956
8.5;0.95
8.75;0.948
9.0;0.945
9.25;0.945
9.5;0.947
9.75;0.944
10.0;0.945